Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:56:26.990,0.0,67.931,76,0.186,0,176,0,176,
2025-06-24T07:56:27.294,0.0,62.788,76,0.186,0,176,0,177,
2025-06-24T07:56:27.599,0.0,60.774,76,0.186,0,178,0,180,
2025-06-24T07:56:27.904,0.0,64.628,76,0.186,0,176,0,181,
2025-06-24T07:56:28.208,0.0,70.106,76,0.186,0,176,0,176,
2025-06-24T07:56:28.511,0.0,73.315,76,0.186,0,176,0,176,
2025-06-24T07:56:28.801,0.0,74.054,76,0.186,0,176,0,182,
2025-06-24T07:56:29.107,0.0,70.818,76,0.186,0,176,0,180,
2025-06-24T07:56:29.412,0.0,66.816,76,0.186,0,176,0,182,
2025-06-24T07:56:29.716,0.0,64.802,76,0.186,0,176,0,176,
2025-06-24T07:56:30.021,0.0,66.561,76,0.186,0,180,0,181,
2025-06-24T07:56:30.340,0.0,68.347,76,0.186,0,176,0,177,
2025-06-24T07:56:30.642,0.0,71.556,76,0.186,0,176,0,176,
2025-06-24T07:56:30.930,0.0,73.423,76,0.186,0,176,0,178,
2025-06-24T07:56:31.232,0.0,69.811,76,0.186,0,176,0,180,
2025-06-24T07:56:31.538,0.0,64.104,76,0.186,0,176,0,180,
2025-06-24T07:56:31.858,0.0,62.788,76,0.186,0,176,0,180,
2025-06-24T07:56:32.162,0.0,64.681,76,0.186,0,176,0,182,
2025-06-24T07:56:32.467,0.0,67.864,76,0.186,0,176,0,178,
2025-06-24T07:56:32.772,0.0,70.778,76,0.186,0,176,0,181,
2025-06-24T07:56:33.076,0.0,72.966,76,0.186,0,184,0,179,
2025-06-24T07:56:33.380,0.0,69.65,76,0.186,0,176,0,185,
2025-06-24T07:56:33.686,0.0,64.762,76,0.186,0,176,0,176,
2025-06-24T07:56:34.006,0.0,63.312,76,0.186,0,176,0,181,
2025-06-24T07:56:34.312,0.0,64.587,76,0.186,0,176,0,179,
2025-06-24T07:56:34.615,0.0,67.528,76,0.186,0,176,0,174,
2025-06-24T07:56:34.905,0.0,71.046,76,0.186,0,176,0,179,
2025-06-24T07:56:35.210,0.0,72.362,76,0.186,0,176,0,175,
2025-06-24T07:56:35.515,0.0,67.823,76,0.186,0,178,0,183,
2025-06-24T07:56:35.820,0.0,62.828,76,0.186,0,176,0,180,
